נבדק ואושר,סוג נכס,מהות עסקה,מקור,"ת""ח",חלקה,גוש,תאריך עסקה,עיר,רחוב,מספר,כניסה,דירה,מחיר מוצהר,מחיר מוערך,שטח ברוטו,שטח נטו,מגרש,חדרים,מחיר למר,מחיר לחדר,גלריה,מרפסת,קומה,קומות,דירות בבנין,מעלית,חניה,מחסן,גג,חצר,שנת בניה,זכויות בניה,אחוזי בניה,תפקוד הבנין,מהות הזכות,תפקוד היחידה  ,שומה חלקים,,
לא,דירת מגורים,דירה בבית קומות,רשות,39,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,1,,39,3586000,3586000,120,120,0,5,29883,717200,0,,8,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,3,,31,4672000,4672000,119,119,0,5,39261,934400,0,,8,8,31,,1,0,67,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,1,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,1,,1,2145600,2145600,75,75,0,3,28608,715200,0,,1,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,125,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,1,,125,4495500,4495500,127,127,0,5,35398,899100,0,,25,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,26,9,6882,13/12/2020,תל אביב -יפו,הצנחנים,1,,26,2500000,2500000,67,67,0,3,37313,833333,0,,7,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,35,31,6882,13/12/2020,תל אביב -יפו,דבורה הנביאה,79,,35,2250000,2250000,70,70,0,3,32143,750000,0,,1,7,58,,0,0,0,34,2020,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,34,814,6628,13/12/2020,תל אביב -יפו,רקנטי,5,,34,3646027,3646027,84,84,0,3,43405,1215342,0,,7,20,66,,0,0,0,0,2019,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,5,220,7050,09/12/2020,תל אביב -יפו,מחרוזת,12,,5,1700000,1700000,65,77,0,3,22078,566667,0,,2,4,16,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,5,10,6882,09/12/2020,תל אביב -יפו,הצנחנים,1,,5,2339000,2339000,67,67,0,3,34910,779667,0,,1,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,6,9,6882,09/12/2020,תל אביב -יפו,הצנחנים,1,,6,2279500,2279500,73,73,0,3,31226,759833,0,,1,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,15,263,7109,09/12/2020,תל אביב -יפו,תל אביב -י - ללא רחו,1,,15,3186225,3186225,69,69,0,3,46177,1062075,0,,4,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,45,53,6882,08/12/2020,תל אביב -יפו,בית אל,12,,1,2200000,2200000,75,80,0,4,27500,550000,0,,3,7,92,,0,0,0,0,1960,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,105,9,6882,08/12/2020,תל אביב -יפו,הצנחנים,1,,105,2944900,2944900,83,83,0,3,35481,981633,0,,21,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,0,21,9021,08/12/2020,תל אביב -יפו,צלנוב,24,,3,2460000,2460000,60,60,0,3,41000,820000,0,,1,5,13,,0,0,0,0,2017,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,36,54,7075,07/12/2020,תל אביב -יפו,סהרון,28,,3,1470000,1470000,60,62,0,2,23710,735000,0,,2,4,8,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,30,9,6882,06/12/2020,תל אביב -יפו,הצנחנים,1,,30,2527000,2527000,71,71,0,3,35592,842333,0,,7,8,32,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,21,9,6882,06/12/2020,תל אביב -יפו,הצנחנים,1,,21,2472000,2472000,73,73,0,3,33863,824000,0,,4,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,29,9,6882,06/12/2020,תל אביב -יפו,הצנחנים,1,,29,2437000,2437000,67,67,0,3,36373,812333,0,,7,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
לא,דירת מגורים,דירה בבית קומות,רשות,4,9,6882,06/12/2020,תל אביב -יפו,הצנחנים,1,,4,3110000,3110000,109,109,0,4,28532,777500,0,,1,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1,,
