OBJECTID,POP_2018,USETYPE,USETYPECOD,CITY,MAINUSE,TAZAREA,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,Shape_Length,Shape_Area,CITYCODE,ACC_INDEX,YEARMONTH
5727,3065,מגורים,1,מגדל העמק,מגורים,867248,5,0,0,8,2,1,7,0,8,8,0,1,0,3,8,4022.001092,867247.9511,874,5.765363541,202012
5728,6469,מגורים,1,טייבה,מגורים,3514328,32,5,11,62,0,14,59,4,78,72,8,6,0,46,72,8108.735161,3514327.658,2730,9.105581494,202012
5729,0,עתידי/לא ידוע,5,סוריף / בית אומר,לא ידוע,45890754,16,2,4,37,2,2,40,1,43,35,0,0,0,19,35,40151.34038,45890753.83,0,0.34865411,202012
5730,6551,מגורים,1,פתח תקווה,מגורים,384460,10,0,1,12,8,4,5,3,13,15,0,0,0,11,15,2609.666641,384459.5989,7900,26.01050825,202012
5731,1631,מגורים,1,ירושלים,מגורים,295273,3,0,0,3,1,0,2,0,3,5,2,0,0,2,5,2301.7619,295272.5201,3000,10.16008914,202012
5732,11296,מגורים,1,תל אביב -יפו,מגורים,368725,85,0,11,85,26,3,76,10,96,152,41,1,6,60,152,2722.822462,368725.0496,5000,230.5241033,202012
5733,0,פנאי/טבע/ספורט,3,נשר,שטח פתוח,1568301,4,0,1,4,0,0,5,0,5,6,3,0,0,2,6,5953.864377,1568301.071,2500,2.550530797,202012
5734,6,תעשיה/מסחר/מתקנים,4,ראש העין,תעשיה,754635,4,2,0,9,0,0,11,0,11,16,0,0,1,12,16,5001.793874,754634.8502,2640,5.300575775,202012
5735,0,עתידי/לא ידוע,5,נבי סמואל,לא ידוע,18427268,20,1,5,44,3,2,45,0,50,42,6,2,0,27,42,23721.68925,18427267.76,0,1.085348083,202012
5736,8094,מגורים,1,בת ים,מגורים,502399,51,1,5,55,24,12,33,14,61,80,19,1,0,46,80,4201.845129,502398.8032,6200,101.5129409,202012
5737,0,פנאי/טבע/ספורט,3,מועצה אזורית מטה אשר,שטח פתוח,13907123,16,2,0,58,0,13,44,2,60,34,1,2,0,29,34,22250.39804,13907122.83,0,1.150489573,202012
5738,0,תעשיה/מסחר/מתקנים,4,מפעל נשר ומחצבה,תעשיה,4966588,3,1,1,3,1,0,5,0,5,5,1,2,0,1,5,10811.82064,4966587.56,0,0.604036413,202012
5739,3959,מגורים,1,ראשון לציון,מגורים,362669,14,0,1,16,7,4,9,4,17,21,1,0,0,15,21,3141.087128,362669.0533,8300,38.60269281,202012
5740,4794,מגורים,1,טבריה,מגורים,646479,34,1,3,71,10,19,47,9,75,60,9,2,0,45,60,4658.333913,646479.4217,6700,52.59258228,202012
5741,3303,מגורים,1,הרצלייה,מגורים,213603,15,0,1,14,12,1,7,7,15,20,3,1,2,10,20,2394.246285,213602.9672,6400,70.22373281,202012
5742,0,פנאי/טבע/ספורט,3,קריית ביאליק,שטח פתוח,701791,11,1,3,21,0,2,19,4,25,29,1,1,0,24,29,3749.371293,701791.0921,9500,15.6741822,202012
5743,0,מוסדי/ציבורי,2,אשדוד,בית חולים,983336,26,0,2,50,1,6,39,6,52,54,1,2,0,46,54,4429.555707,983335.9292,70,26.44060626,202012
5744,0,תעשיה/מסחר/מתקנים,4,באר שבע,תעשיה,2062610,4,0,1,10,2,1,10,0,11,8,0,0,0,8,8,5989.722784,2062609.58,9000,1.939290511,202012
5745,0,פנאי/טבע/ספורט,3,חולון,שטח פתוח,586731,7,0,1,8,0,4,5,0,9,12,3,0,1,6,12,3583.55811,586730.6106,6600,11.93050989,202012
5746,1058,מגורים,1,אור יהודה,מגורים,273823,33,2,4,41,8,9,34,4,47,65,10,0,1,44,65,2144.638929,273822.7515,2400,120.5158077,202012
5747,3987,מגורים,1,חיפה,מגורים,362174,9,0,1,11,5,2,7,3,12,13,2,1,0,8,13,2621.422253,362173.8753,4000,24.84993401,202012
5748,4371,מגורים,1,עין ורד פורת עין שריד,מגורים,9657086,8,0,3,10,0,3,10,0,13,16,2,1,0,9,16,17046.35805,9657086.092,0,0.828407244,202012
5749,2348,מגורים,1,מצר מייסר,מגורים,6061958,12,0,1,30,0,9,22,0,31,20,0,1,0,13,20,15447.8336,6061957.569,0,1.97955842,202012
5750,0,עתידי/לא ידוע,5,זעתרה,לא ידוע,12702916,6,0,1,16,1,5,12,0,17,12,0,0,0,6,12,16864.73991,12702916.04,0,0.472332494,202012
5751,1006,מגורים,1,משמר השבעה,מגורים,1800945,7,0,2,11,0,2,10,1,13,14,2,0,0,9,14,5575.878593,1800945.184,0,3.886848294,202012
5752,5913,מגורים,1,תל אביב -יפו,מגורים,411332,44,3,8,50,13,25,32,4,61,78,12,0,6,40,78,2827.433997,411331.6222,5000,106.9695526,202012
5753,3860,מגורים,1,קריית גת,מגורים,540091,14,0,2,24,2,1,20,4,26,24,1,1,0,19,24,4580.895967,540090.7563,2630,25.92155766,202012
5754,3553,מגורים,1,ראש העין,מגורים,601845,1,0,1,0,0,0,1,0,1,3,1,0,0,2,3,4314.612695,601844.9365,2640,1.661557378,202012
5755,0,תעשיה/מסחר/מתקנים,4,כרמיאל,תעשיה,789439,14,0,2,33,3,4,29,2,35,25,0,0,0,24,25,5175.00072,789438.7592,1139,17.73411245,202012
5756,4724,מגורים,1,בת ים,מגורים,275387,34,1,4,32,19,9,19,9,37,51,3,1,5,32,51,2915.664724,275387.3129,6200,123.4626181,202012
5757,6935,מגורים,1,נהרייה,מגורים,1315149,37,1,7,54,13,12,43,7,62,63,5,1,2,46,63,4580.141827,1315148.567,9100,28.13369436,202012
