נבדק ואושר,סוג נכס,מהות עסקה,מקור,"ת""ח",חלקה,גוש,תאריך עסקה,עיר,רחוב,מספר,כניסה,דירה,מחיר מוצהר,מחיר מוערך,שטח ברוטו,שטח נטו,מגרש,חדרים,מחיר למר,מחיר לחדר,גלריה,מרפסת,קומה,קומות,דירות בבנין,מעלית,חניה,מחסן,גג,חצר,שנת בניה,זכויות בניה,אחוזי בניה,תפקוד הבנין,מהות הזכות,תפקוד היחידה  ,שומה חלקים
לא,דירת מגורים,דירה בבית קומות,רשות,68,9,6882,30/12/2020,תל אביב -יפו,הצנחנים,1,,68,"3,434,500","3,434,500",109,109,0,4,"31,509","858,625",0,,13,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,40,9,6882,30/12/2020,תל אביב -יפו,הצנחנים,1,,40,"3,784,940","3,784,940",120,120,0,5,"31,541","756,988",0,,8,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,28,9,6882,30/12/2020,תל אביב -יפו,הצנחנים,1,,28,"2,838,000","2,838,000",82,82,0,3,"34,610","946,000",0,,7,8,32,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,9,6882,29/12/2020,תל אביב -יפו,הצנחנים,2,,45,"3,818,890","3,818,890",120,120,0,5,"31,824","763,778",0,,9,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,9,9,6882,29/12/2020,תל אביב -יפו,הצנחנים,1,,9,"3,200,000","3,200,000",109,109,0,4,"29,358","800,000",0,,2,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,10,11,9001,27/12/2020,תל אביב -יפו,טולוז,25,,4,"4,700,000","4,700,000",197,197,0,3,"23,858","1,566,667",0,,1,3,16,,0,0,0,45,2017,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,6,179,7050,24/12/2020,תל אביב -יפו,קהלת קנדה,36,,6,"718,738","718,738",67,67,0,3,"10,727","239,579",0,,3,4,40,,0,0,0,0,1960,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,11,199,7050,24/12/2020,תל אביב -יפו,קהלת קנדה,34,,11,"108,333","108,333",69,69,0,3,"1,570","36,111",0,,3,3,12,,0,0,0,0,1950,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,0.08
לא,דירת מגורים,דירה בבית קומות,רשות,29,222,7050,24/12/2020,תל אביב -יפו,מחרוזת,18,,1,"1,280,000","1,280,000",50,50,0,3,"25,600","426,667",0,,1,4,33,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,91,291,6135,24/12/2020,תל אביב -יפו,הרטוב,21,,91,"1,590,000","1,590,000",59,56,0,3,"28,393","530,000",0,,1,4,16,,0,0,0,0,1970,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,8,134,6904,24/12/2020,תל אביב -יפו,מלצט,49,,4,"1,850,000","1,850,000",78,78,0,3,"23,718","616,667",0,,4,4,7,,0,0,24,0,1960,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,37,8,7259,23/12/2020,תל אביב -יפו,תל אביב -י - ללא רחו,50,,37,"8,205,000","8,205,000",160,160,0,5,"51,281","1,641,000",0,,5,8,20,,0,0,0,0,2022,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,1,9,6882,20/12/2020,תל אביב -יפו,הצנחנים,1,,1,"1,950,000","1,950,000",55,55,0,2,"35,455","975,000",0,,1,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,11,9,6882,20/12/2020,תל אביב -יפו,הצנחנים,1,,11,"2,413,000","2,413,000",73,73,0,3,"33,055","804,333",0,,2,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,3,6979,20/12/2020,תל אביב -יפו,סמ כביר,3,,1,"880,000","880,000",24,30,0,2,"29,333","440,000",0,,1,2,4,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,8,7460,20/12/2020,תל אביב -יפו,בית השואבה,8,,1,"3,405,896","2,905,983",59,59,0,3,"49,254","968,661",0,,4,5,20,,1,0,0,0,2019,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,9,197,7047,17/12/2020,תל אביב -יפו,שד הבעשט,21,,2,"1,570,000","1,570,000",54,47,0,2,"33,404","785,000",0,,2,4,8,,0,0,0,0,1950,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,28,9,6882,16/12/2020,תל אביב -יפו,הצנחנים,1,,28,"2,444,000","2,444,000",67,67,0,3,"36,478","814,667",0,,7,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,9,6882,16/12/2020,תל אביב -יפו,הצנחנים,1,,87,"2,540,940","2,540,940",70,70,0,3,"36,299","846,980",0,,17,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,26,6943,16/12/2020,תל אביב -יפו,יסוד המעלה,31,,12,"1,850,000","1,850,000",44,44,0,2,"42,045","925,000",0,,3,6,22,,1,0,0,0,2018,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,4,43,7061,16/12/2020,תל אביב -יפו,דרך שלמה,82,,1,"1,350,000","1,350,000",46,46,0,2,"29,348","675,000",0,,1,2,4,,0,0,0,0,1960,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,13,9,6882,15/12/2020,תל אביב -יפו,הצנחנים,1,,13,"2,406,000","2,406,000",67,67,0,3,"35,910","802,000",0,,3,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,17,9,6882,15/12/2020,תל אביב -יפו,הצנחנים,1,,17,"2,425,400","2,425,400",67,67,0,3,"36,200","808,467",0,,4,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,25,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,1,,25,"2,457,240","2,457,240",67,67,0,3,"36,675","819,080",0,,6,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,39,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,1,,39,"3,586,000","3,586,000",120,120,0,5,"29,883","717,200",0,,8,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,3,,31,"4,672,000","4,672,000",119,119,0,5,"39,261","934,400",0,,8,8,31,,1,0,67,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,1,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,1,,1,"2,145,600","2,145,600",75,75,0,3,"28,608","715,200",0,,1,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,125,9,6882,14/12/2020,תל אביב -יפו,הצנחנים,1,,125,"4,495,500","4,495,500",127,127,0,5,"35,398","899,100",0,,25,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,26,9,6882,13/12/2020,תל אביב -יפו,הצנחנים,1,,26,"2,500,000","2,500,000",67,67,0,3,"37,313","833,333",0,,7,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,35,31,6882,13/12/2020,תל אביב -יפו,דבורה הנביאה,79,,35,"2,250,000","2,250,000",70,70,0,3,"32,143","750,000",0,,1,7,58,,0,0,0,34,2020,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,34,814,6628,13/12/2020,תל אביב -יפו,רקנטי,5,,34,"3,646,027","3,646,027",84,84,0,3,"43,405","1,215,342",0,,7,20,66,,0,0,0,0,2019,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,5,220,7050,09/12/2020,תל אביב -יפו,מחרוזת,12,,5,"1,700,000","1,700,000",65,77,0,3,"22,078","566,667",0,,2,4,16,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,5,10,6882,09/12/2020,תל אביב -יפו,הצנחנים,1,,5,"2,339,000","2,339,000",67,67,0,3,"34,910","779,667",0,,1,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
